OCCURRED_ON_DATE,0_2,0_3,0_4,0_6,0_7,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,3_2,3_3,3_4,3_5,3_6,3_7,3_8,3_9,4_12,4_3,4_4,4_5,4_6,4_7,4_8,4_9,5_3,5_4,5_5,5_6,5_7,5_8,5_9,6_0,6_6,6_7,6_8,6_9,7_9,8_7
2015-08-01,2.0,1.0,,1.0,1.0,,1.0,2.0,4.0,,,2.0,10.0,,,3.0,6.0,2.0,3.0,3.0,1.0,,7.0,13.0,6.0,14.0,14.0,10.0,,1.0,,8.0,18.0,20.0,13.0,29.0,5.0,1.0,,,1.0,8.0,2.0,12.0,,,,,2.0,3.0,,
2015-08-02,,,,,1.0,,3.0,,8.0,2.0,,1.0,5.0,,,3.0,4.0,3.0,2.0,,1.0,,3.0,5.0,5.0,25.0,12.0,14.0,,,,5.0,12.0,21.0,8.0,28.0,6.0,5.0,,2.0,,2.0,5.0,7.0,,,,,1.0,4.0,,
2015-08-03,,1.0,1.0,1.0,3.0,,,3.0,2.0,,,1.0,8.0,,2.0,5.0,3.0,2.0,2.0,1.0,1.0,,1.0,1.0,8.0,22.0,23.0,5.0,,,,5.0,25.0,26.0,20.0,22.0,9.0,,,5.0,,5.0,1.0,10.0,1.0,,1.0,,1.0,1.0,,
2015-08-04,,8.0,,,3.0,,,1.0,11.0,,,2.0,9.0,,2.0,4.0,3.0,7.0,6.0,6.0,5.0,,,12.0,13.0,12.0,14.0,8.0,,,,6.0,21.0,18.0,14.0,19.0,2.0,,2.0,,1.0,6.0,1.0,6.0,,,1.0,,,,,
2015-08-05,2.0,3.0,,,3.0,,1.0,,4.0,2.0,,,4.0,,1.0,4.0,4.0,3.0,5.0,1.0,3.0,,1.0,12.0,9.0,21.0,20.0,10.0,,,,9.0,29.0,21.0,24.0,30.0,7.0,1.0,,1.0,,8.0,3.0,8.0,,,,,,2.0,,
2015-08-06,,1.0,,,,,2.0,2.0,2.0,2.0,,1.0,5.0,,1.0,2.0,7.0,3.0,1.0,7.0,4.0,,,14.0,7.0,16.0,12.0,8.0,,,,11.0,28.0,21.0,18.0,27.0,6.0,,,,2.0,9.0,5.0,8.0,,,,,,,,
2015-08-07,,2.0,1.0,2.0,2.0,,2.0,5.0,4.0,,,3.0,14.0,1.0,2.0,11.0,6.0,3.0,5.0,,2.0,,1.0,13.0,8.0,19.0,20.0,8.0,,,,8.0,18.0,17.0,17.0,25.0,7.0,,,,2.0,5.0,8.0,5.0,,,,,,,,
2015-08-08,,1.0,1.0,,1.0,,,1.0,1.0,,,3.0,4.0,,2.0,4.0,2.0,5.0,2.0,2.0,2.0,,2.0,12.0,9.0,21.0,16.0,14.0,,,,11.0,14.0,20.0,17.0,20.0,6.0,,,2.0,1.0,12.0,6.0,3.0,,,1.0,,,3.0,2.0,
2015-08-09,,,3.0,,,,,,4.0,,,1.0,6.0,,,5.0,4.0,1.0,3.0,4.0,,,1.0,6.0,4.0,18.0,11.0,13.0,,,,2.0,14.0,20.0,17.0,19.0,7.0,1.0,1.0,1.0,3.0,7.0,5.0,11.0,,,,,,1.0,,
2015-08-10,1.0,1.0,,1.0,4.0,1.0,,2.0,3.0,1.0,1.0,1.0,10.0,,,5.0,2.0,1.0,2.0,2.0,,,1.0,12.0,8.0,15.0,8.0,7.0,,,,7.0,16.0,29.0,21.0,22.0,15.0,,1.0,,1.0,9.0,,13.0,1.0,,,,1.0,,,
2015-08-11,1.0,,,1.0,3.0,,3.0,1.0,5.0,,,,7.0,,,4.0,3.0,,3.0,2.0,4.0,,1.0,12.0,6.0,33.0,11.0,14.0,,,,5.0,15.0,17.0,12.0,27.0,3.0,,,1.0,2.0,4.0,,6.0,,,,,,5.0,,
2015-08-12,,,,,1.0,1.0,,1.0,3.0,,,1.0,15.0,,,4.0,4.0,1.0,4.0,2.0,2.0,,2.0,8.0,6.0,8.0,18.0,13.0,,,,7.0,18.0,15.0,15.0,30.0,7.0,1.0,1.0,,3.0,7.0,1.0,3.0,1.0,,,,1.0,6.0,4.0,
2015-08-13,1.0,1.0,,1.0,2.0,,1.0,1.0,3.0,,,1.0,5.0,,,3.0,7.0,12.0,3.0,2.0,3.0,1.0,2.0,4.0,5.0,23.0,18.0,12.0,,,,6.0,20.0,9.0,24.0,32.0,9.0,,1.0,1.0,2.0,17.0,1.0,12.0,1.0,,,,1.0,,,
2015-08-14,4.0,2.0,,1.0,4.0,,2.0,2.0,2.0,1.0,,2.0,11.0,,2.0,8.0,4.0,3.0,3.0,2.0,,,2.0,10.0,5.0,21.0,18.0,7.0,,,,3.0,20.0,25.0,24.0,24.0,4.0,1.0,1.0,3.0,3.0,10.0,4.0,14.0,1.0,,,,,1.0,,
2015-08-15,,2.0,1.0,,1.0,,1.0,2.0,2.0,1.0,,2.0,7.0,,1.0,9.0,4.0,,6.0,2.0,,,3.0,10.0,5.0,17.0,11.0,7.0,,,,5.0,19.0,16.0,12.0,31.0,9.0,,,6.0,,10.0,4.0,5.0,1.0,,,,1.0,1.0,1.0,
2015-08-16,,,,1.0,2.0,,1.0,1.0,5.0,,,,10.0,2.0,,2.0,2.0,5.0,5.0,2.0,2.0,,1.0,14.0,4.0,12.0,11.0,7.0,,,,2.0,14.0,16.0,10.0,18.0,6.0,1.0,1.0,1.0,1.0,4.0,2.0,6.0,,,,,2.0,4.0,1.0,
2015-08-17,3.0,3.0,,1.0,,,1.0,6.0,1.0,1.0,,,9.0,1.0,2.0,5.0,6.0,5.0,2.0,3.0,1.0,,2.0,12.0,17.0,13.0,18.0,19.0,,,,7.0,25.0,18.0,12.0,19.0,3.0,,3.0,3.0,1.0,8.0,,2.0,2.0,,,,,1.0,,
2015-08-18,1.0,1.0,1.0,,3.0,,5.0,2.0,2.0,,,,8.0,,3.0,5.0,7.0,2.0,3.0,6.0,8.0,,3.0,13.0,5.0,25.0,15.0,17.0,,,,5.0,17.0,14.0,22.0,36.0,7.0,1.0,2.0,2.0,2.0,9.0,,8.0,2.0,,,,,2.0,1.0,
2015-08-19,,4.0,2.0,,1.0,,2.0,2.0,1.0,1.0,,,5.0,,,2.0,5.0,1.0,7.0,1.0,,,1.0,3.0,18.0,12.0,15.0,15.0,,,,6.0,19.0,23.0,19.0,29.0,5.0,,3.0,2.0,2.0,12.0,2.0,8.0,,,,,,2.0,,
2015-08-20,,,1.0,1.0,4.0,,,3.0,2.0,,,1.0,11.0,,,4.0,1.0,2.0,3.0,4.0,5.0,,1.0,12.0,18.0,22.0,12.0,6.0,,,,6.0,14.0,20.0,13.0,27.0,6.0,,1.0,,1.0,8.0,5.0,6.0,,,1.0,,,2.0,,
2015-08-21,1.0,,1.0,,,,,2.0,1.0,1.0,,3.0,5.0,1.0,2.0,,4.0,3.0,4.0,3.0,3.0,,2.0,8.0,12.0,21.0,36.0,9.0,,,,11.0,16.0,14.0,21.0,25.0,7.0,2.0,,1.0,2.0,3.0,,9.0,,,,,1.0,2.0,,
2015-08-22,,8.0,,3.0,1.0,,,4.0,6.0,,,3.0,12.0,,,7.0,3.0,2.0,4.0,4.0,6.0,,4.0,7.0,20.0,6.0,17.0,9.0,,,,10.0,18.0,20.0,21.0,25.0,4.0,2.0,4.0,1.0,,3.0,2.0,7.0,2.0,,1.0,,2.0,5.0,1.0,
2015-08-23,2.0,1.0,,,,,3.0,,4.0,,,3.0,10.0,,1.0,5.0,4.0,4.0,6.0,,,1.0,1.0,12.0,7.0,9.0,13.0,19.0,,,,5.0,15.0,12.0,15.0,13.0,4.0,,,1.0,1.0,11.0,5.0,6.0,,,1.0,,,,,
2015-08-24,3.0,5.0,1.0,,4.0,,3.0,1.0,1.0,,,3.0,10.0,,2.0,11.0,3.0,2.0,3.0,3.0,3.0,,1.0,6.0,9.0,14.0,29.0,8.0,,,,8.0,14.0,11.0,12.0,34.0,5.0,,2.0,,,10.0,1.0,5.0,,,,,1.0,4.0,1.0,
2015-08-25,,3.0,,,3.0,,1.0,,5.0,3.0,,5.0,10.0,1.0,,5.0,1.0,4.0,4.0,3.0,3.0,,4.0,10.0,8.0,21.0,20.0,5.0,,,,4.0,11.0,25.0,20.0,32.0,6.0,,1.0,1.0,4.0,5.0,2.0,10.0,,,,,,8.0,,
2015-08-26,,2.0,,1.0,3.0,,3.0,1.0,1.0,,,,10.0,,,6.0,6.0,2.0,8.0,,,,,4.0,12.0,19.0,20.0,15.0,,,,8.0,21.0,24.0,17.0,26.0,7.0,1.0,3.0,1.0,1.0,10.0,2.0,7.0,1.0,,1.0,,,,,
2015-08-27,,3.0,2.0,,2.0,,,,1.0,,,,9.0,,,5.0,2.0,1.0,3.0,2.0,,,6.0,10.0,15.0,21.0,20.0,8.0,,,,4.0,14.0,12.0,12.0,17.0,5.0,1.0,1.0,1.0,3.0,7.0,5.0,12.0,,,,,,1.0,,
